sequence_id,material,quality_score,snr,drift_slope,saturation_ratio,force_anomaly_ratio,spc_out_of_control_ratio,iso_label,iso_score,mahal_label,mahal_score
material_0700000_position_1_sensor_1,Plastic_Rubber,58.5168,16.870066136696373,0.104812705844053,0.0,0.0588235294117647,0.0588235294117647,1,0.079975,1,-9.858295
material_0700000_position_1_sensor_2,Plastic_Rubber,81.0993,21.91377479358121,-0.0227438406352127,0.0,0.0,0.0,1,0.108333,1,-18.901982
material_0700000_position_1_sensor_3,Plastic_Rubber,63.9382,17.520224329767352,-0.0241543958078051,0.0,0.0,0.0625,1,0.131546,1,-7.762463
material_0700000_position_2_sensor_1,Plastic_Rubber,58.9597,18.071267998745714,-0.0396831357868666,0.0,0.0625,0.0625,1,0.125634,1,-9.155738
material_0700000_position_2_sensor_2,Plastic_Rubber,64.8922,20.91059783205435,-0.067988638684644,0.0,0.0,0.0625,1,0.139038,1,-6.599484
material_0700000_position_2_sensor_3,Plastic_Rubber,78.6559,16.584438584222244,-0.013248562282988,0.0,0.0,0.0,-1,-0.010412,-1,-61.324217
material_0700000_position_3_sensor_1,Plastic_Rubber,54.742,18.864155953805543,-0.0147324936810672,0.0,0.125,0.0625,1,0.133183,1,-8.280239
material_0700000_position_3_sensor_2,Plastic_Rubber,75.6656,22.08075370651149,-0.0551576366549259,0.0,0.0625,0.0,1,0.127038,1,-9.370399
material_0700000_position_3_sensor_3,Plastic_Rubber,54.3294,17.72190095235186,-0.0057085040722019,0.0,0.125,0.0625,1,0.135014,1,-6.142677
material_0700000_position_4_sensor_1,Plastic_Rubber,54.6881,18.687917131263426,0.0127303522646039,0.0,0.125,0.0625,1,0.117986,1,-9.572145
material_0700000_position_4_sensor_2,Plastic_Rubber,70.7116,21.781585387762647,-0.0430974823197522,0.0,0.125,0.0,1,0.123462,1,-8.665362
material_0700000_position_4_sensor_3,Plastic_Rubber,54.0306,17.339165900175757,0.0127875465941568,0.0,0.125,0.0625,1,0.140587,1,-7.342153
material_0700010_position_1_sensor_1,Plastic_Rubber,78.9733,17.960728480179586,0.0354425248289436,0.0,0.0,0.0,1,0.098995,1,-10.864603
material_0700010_position_1_sensor_2,Plastic_Rubber,59.8849,20.437894153905365,0.0539628475413608,0.0,0.0625,0.0625,1,0.134051,1,-6.85816
material_0700010_position_1_sensor_3,Plastic_Rubber,61.0843,15.646882240251577,0.1463971306295931,0.0,0.0,0.0625,1,0.123006,1,-10.65886
material_0700010_position_2_sensor_1,Plastic_Rubber,79.5849,18.78218103009344,-0.0221123812806411,0.0,0.0,0.0,1,0.085964,1,-23.23554
material_0700010_position_2_sensor_2,Plastic_Rubber,60.1927,21.69846329608434,-0.0732151421440988,0.0,0.0625,0.0625,1,0.105912,1,-12.002055
material_0700010_position_2_sensor_3,Plastic_Rubber,75.1294,16.74382292888218,-0.240122296900531,0.0,0.0,0.0,1,0.109616,1,-14.988795
material_0700010_position_3_sensor_1,Plastic_Rubber,57.4621,18.028102462266016,0.1326328396267349,0.0,0.0625,0.0625,1,0.120132,1,-14.453593
material_0700010_position_3_sensor_2,Plastic_Rubber,79.8709,20.242872206833542,0.0488661391314328,0.0,0.0,0.0,1,0.098777,1,-21.583227
material_0700010_position_3_sensor_3,Plastic_Rubber,61.33,15.585492813789694,0.1290505131740179,0.0,0.0,0.0625,1,0.138167,1,-10.501131
material_0700010_position_4_sensor_1,Plastic_Rubber,57.5348,17.947244227624548,0.1255779542611308,0.0,0.0625,0.0625,1,0.121699,1,-15.421041
material_0700010_position_4_sensor_2,Plastic_Rubber,59.8862,20.0057438376176,0.0406358730341087,0.0,0.0625,0.0625,1,0.11882,1,-11.124912
material_0700010_position_4_sensor_3,Plastic_Rubber,55.4193,15.406672260070998,0.1809001081878043,0.0,0.0625,0.0625,1,0.133775,1,-10.385853
material_0700030_position_1_sensor_1,Plastic_Rubber,75.3761,18.33241078788789,0.2732687302134386,0.0,0.0,0.0,1,0.068754,1,-29.724235
material_0700030_position_1_sensor_2,Plastic_Rubber,57.2586,15.723430134917209,0.3895694635927272,0.0,0.0,0.0625,-1,-0.002939,-1,-100.636859
material_0700030_position_1_sensor_3,Plastic_Rubber,57.3852,14.67669894247129,0.0347830595128669,0.0,0.0625,0.0625,1,0.110292,1,-14.760236
material_0700030_position_2_sensor_1,Plastic_Rubber,56.4551,22.187989898349567,-0.0087490856694263,0.0,0.125,0.0625,1,0.095698,1,-16.588736
material_0700030_position_2_sensor_2,Plastic_Rubber,60.7562,22.21233879150835,0.0534842473447702,0.0,0.0625,0.0625,1,0.098036,1,-19.709769
material_0700030_position_2_sensor_3,Plastic_Rubber,80.534,20.53669482521921,0.0161288535922166,0.0,0.0,0.0,1,0.097899,1,-24.072673
material_0700030_position_3_sensor_1,Plastic_Rubber,64.6333,21.201817293623183,0.0932081641901523,0.0,0.0,0.0625,1,0.10277,1,-16.195611
material_0700030_position_3_sensor_2,Plastic_Rubber,64.268,21.74817367165428,0.1329456523820476,0.0,0.0,0.0625,1,0.118759,1,-15.935637
material_0700030_position_3_sensor_3,Plastic_Rubber,59.4686,19.743075355634712,0.0588757579529202,0.0,0.0625,0.0625,1,0.11058,1,-15.681845
material_0700030_position_4_sensor_1,Plastic_Rubber,80.5369,21.716419939736333,0.0520962648080034,0.0,0.0,0.0,1,0.095854,1,-17.429322
material_0700030_position_4_sensor_2,Plastic_Rubber,61.0794,22.56108356955973,0.0438294207005724,0.0,0.0625,0.0625,1,0.097747,1,-19.271802
material_0700030_position_4_sensor_3,Plastic_Rubber,65.641,20.66944180804251,-0.0134612997217135,0.0,0.0,0.0625,1,0.116165,1,-13.677768
material_0700050_position_1_sensor_1,Plastic_Rubber,60.1351,17.653733796506916,0.0269572019888701,0.0,0.0588235294117647,0.0588235294117647,1,0.052122,1,-16.959591
material_0700050_position_1_sensor_2,Plastic_Rubber,80.3092,19.84048134379081,0.00894421147365,0.0,0.0,0.0,1,0.086423,1,-16.843152
material_0700050_position_1_sensor_3,Plastic_Rubber,76.6481,17.36561746013826,0.1635715778824524,0.0,0.0,0.0,1,0.041268,1,-31.81585
material_0700050_position_2_sensor_1,Plastic_Rubber,63.1135,15.573833028938791,0.0164237690844533,0.0,0.0,0.0625,1,0.033687,-1,-54.397939
material_0700050_position_2_sensor_2,Plastic_Rubber,49.0117,12.712546996446395,0.5016975033828608,0.0,0.0625,0.0625,1,0.046565,1,-38.468247
material_0700050_position_2_sensor_3,Plastic_Rubber,60.0978,20.131358128505447,0.0311665725209345,0.0,0.0625,0.0625,1,0.061936,1,-25.319623
material_0700050_position_3_sensor_1,Plastic_Rubber,61.0723,21.93759176076524,0.0251730302798221,0.0,0.0625,0.0625,1,0.05996,1,-25.936216
material_0700050_position_3_sensor_2,Plastic_Rubber,61.3398,22.08626525664649,-0.0128886670879326,0.0,0.0625,0.0625,1,0.064154,1,-36.446248
material_0700050_position_3_sensor_3,Plastic_Rubber,74.9588,20.233914863321942,0.0430580208971614,0.0,0.0625,0.0,1,0.084804,1,-21.446294
material_0700050_position_4_sensor_1,Plastic_Rubber,45.1062,13.250999838357396,0.7640389476102922,0.0,0.0625,0.0625,1,0.079777,1,-15.609847
material_0700050_position_4_sensor_2,Plastic_Rubber,65.362,19.91444842394693,0.0078911164726292,0.0,0.0,0.0625,-1,-0.039649,-1,-248.217609
material_0700050_position_4_sensor_3,Plastic_Rubber,61.5971,17.446231557401507,0.16925191801981,0.0,0.0,0.0625,-1,-0.035706,-1,-155.982597
material_0700050_position_5_sensor_1,Plastic_Rubber,80.9714,21.844526976148344,0.0286700048508973,0.0,0.0,0.0,1,0.063435,1,-34.828209
material_0700050_position_5_sensor_2,Plastic_Rubber,59.6864,18.00415549932496,0.3066243377884999,0.0,0.0,0.0625,1,0.072722,1,-38.880949
material_0700050_position_5_sensor_3,Plastic_Rubber,59.8027,19.94418038995804,0.0440101868872492,0.0,0.0625,0.0625,1,0.066575,1,-23.039606
material_0700060_position_1_sensor_1,Plastic_Rubber,64.6367,18.09347891328196,-0.0532908587154523,0.0,0.0,0.0588235294117647,1,0.089551,1,-15.675323
material_0700060_position_1_sensor_2,Plastic_Rubber,65.3336,21.38539944620865,-0.0547497287326404,0.0,0.0,0.0625,1,0.128523,1,-9.550239
