sequence_id,material,quality_score,snr,drift_slope,saturation_ratio,force_anomaly_ratio,spc_out_of_control_ratio,iso_label,iso_score,mahal_label,mahal_score,reason
material_0701320_position_1_sensor_3,Metal,15.0,-1.6300760407047323,1.2589709009906047,0.0609168535397376,0.0,0.0625,-1,-0.21265,-1,-1712.572821,iso_anomaly;low_quality(<30)
material_0700070_position_4_sensor_1,Plastic_Rubber,39.1803,11.185057816676611,0.759019891876021,0.0,0.125,0.0625,-1,-0.025191,-1,-72.058772,iso_anomaly
material_0710300_position_3_sensor_2,Paper_Cardboard,50.3983,9.787714587541126,0.0100491999208519,0.0,0.125,0.0625,-1,-0.056191,-1,-135.227904,iso_anomaly
material_0700770_position_4_sensor_3,Paper_Cardboard,50.7085,5.299758256373154,0.1677464240579023,0.0,0.0625,0.0625,-1,-0.06618,-1,-76.857302,iso_anomaly
material_0700790_position_2_sensor_2,Paper_Cardboard,50.9233,15.581460455869284,0.1545263432521431,0.0,0.125,0.0625,-1,-0.128074,-1,-234.093102,iso_anomaly
material_0700060_position_4_sensor_3,Plastic_Rubber,51.2789,11.67098607981892,-0.327065969030844,0.0,0.0625,0.0625,-1,-0.029467,-1,-74.244815,iso_anomaly
material_0710200_position_2_sensor_2,Paper_Cardboard,51.683,14.107393520913137,0.0615384146497136,0.0,0.125,0.0625,-1,-0.033143,-1,-78.641754,iso_anomaly
material_700870_position_4_sensor_3,Paper_Cardboard,52.4788,10.732168724421868,0.2227653329886611,0.0,0.0625,0.0625,-1,-0.00586,-1,-55.006142,iso_anomaly
material_0700790_position_3_sensor_2,Paper_Cardboard,52.7888,9.158441607008536,0.1550273485370706,0.0,0.0625,0.0625,-1,-0.010094,-1,-92.12089,iso_anomaly
material_0710380_position_1_sensor_1,Textiles_Leather,53.078,8.028020268486571,0.1021852229498559,0.0,0.0625,0.0625,-1,-0.144968,-1,-282.176406,iso_anomaly
material_0700700_position_1_sensor_1,Paper_Cardboard,53.6841,10.728321811555784,0.1467724705116405,0.0,0.0625,0.0625,-1,-0.042834,-1,-123.541213,iso_anomaly
material_701880_position_5_sensor_2,Paper_Cardboard,53.7686,9.107679690412162,0.0917989318448717,0.0,0.0625,0.0625,-1,-0.005262,-1,-90.73813,iso_anomaly
material_0700090_position_3_sensor_3,Plastic_Rubber,53.8183,17.45235605415094,0.0296184480953816,0.0,0.125,0.0625,-1,-0.091045,-1,-232.187741,iso_anomaly
material_0700290_position_5_sensor_3,Plastic_Rubber,54.2684,9.68702068135643,-0.0780888384650742,0.0,0.0625,0.0625,-1,-0.055431,-1,-115.253459,iso_anomaly
material_0710520_position_3_sensor_2,Small_Items,54.3732,8.83069602918637,-0.0452489947150733,0.0,0.0625,0.0625,-1,-0.07137,-1,-208.284061,iso_anomaly
material_0700810_position_4_sensor_3,Paper_Cardboard,54.4015,10.961909056446313,-0.1087745417177301,0.0,0.0625,0.0625,-1,-0.094175,-1,-131.982264,iso_anomaly
material_0710240_position_5_sensor_1,Paper_Cardboard,54.6757,11.779446463966575,0.1165621250127644,0.0,0.0625,0.0625,-1,-0.041187,-1,-81.613479,iso_anomaly
material_0710150_position_2_sensor_3,Paper_Cardboard,55.0259,11.560794613171634,0.0878202135671967,0.0,0.0625,0.0625,-1,-0.162999,-1,-347.590959,iso_anomaly
material_0700600_position_2_sensor_1,Wood_Bamboo_Cork,55.165,10.03366445379751,-0.0322664962469379,0.0,0.0625,0.0625,-1,-0.030793,-1,-90.718384,iso_anomaly
material_0700100_position_1_sensor_2,Plastic_Rubber,55.2907,9.709984584926802,-0.0144409466911777,0.0,0.0625,0.0625,-1,-0.038448,-1,-109.003767,iso_anomaly
material_0700520_position_1_sensor_2,Plastic_Rubber,55.3531,12.016772128340454,-0.0811961837469366,0.0,0.0625,0.0625,-1,-0.022669,-1,-74.693103,iso_anomaly
material_700860_position_3_sensor_3,Paper_Cardboard,55.9737,6.718526291709253,0.1945247459660971,0.0,0.0,0.0625,-1,-0.044787,-1,-105.333698,iso_anomaly
material_0700170_position_3_sensor_2,Plastic_Rubber,56.2227,11.249538059650426,-0.0029449263429355,0.0,0.0625,0.0625,-1,-0.060353,-1,-77.65747,iso_anomaly
material_0710200_position_2_sensor_3,Paper_Cardboard,56.3505,12.336847116420898,-0.0282168734681347,0.0,0.0625,0.0625,-1,-0.030521,-1,-84.625159,iso_anomaly
material_0700770_position_3_sensor_3,Paper_Cardboard,56.4537,7.267387195701146,0.1811228298611093,0.0,0.0,0.0625,-1,-0.030783,-1,-104.000229,iso_anomaly
material_0701240_position_4_sensor_3,Paper_Cardboard,56.6153,15.73102218568254,-0.1155510349647682,0.0,0.0625,0.0625,-1,-0.059599,-1,-93.85819,iso_anomaly
material_0701210_position_3_sensor_1,Paper_Cardboard,56.6211,15.410214659163636,0.1053565953073946,0.0,0.0625,0.0625,-1,-0.017065,-1,-72.445849,iso_anomaly
material_0700220_position_4_sensor_3,Plastic_Rubber,56.8026,13.480606017969448,-0.0348036279616036,0.0,0.0625,0.0625,-1,-0.045372,-1,-107.824709,iso_anomaly
material_0700720_position_3_sensor_1,Paper_Cardboard,57.2573,16.32487195777671,-0.0933336349188125,0.0,0.0625,0.0625,-1,-0.053184,-1,-104.168525,iso_anomaly
material_0700030_position_1_sensor_2,Plastic_Rubber,57.2586,15.723430134917209,0.3895694635927272,0.0,0.0,0.0625,-1,-0.002939,-1,-100.636859,iso_anomaly
material_0701990_position_4_sensor_2,Textiles_Leather,57.3274,9.320141196542409,0.1890307361877043,0.0,0.0,0.0625,-1,-0.065126,-1,-154.208652,iso_anomaly
material_0700690_position_3_sensor_2,Paper_Cardboard,57.4421,9.150709239276413,0.1766165492238564,0.0,0.0,0.0625,-1,-0.059325,-1,-115.946875,iso_anomaly
material_0700080_position_4_sensor_1,Plastic_Rubber,57.8069,7.391924084104701,0.0997607421874996,0.0,0.0,0.0625,-1,-0.05876,-1,-109.425955,iso_anomaly
material_0700220_position_5_sensor_3,Plastic_Rubber,57.8216,13.446815237413986,0.284367343877652,0.0,0.0,0.0625,-1,-0.027102,-1,-84.678971,iso_anomaly
material_0700080_position_3_sensor_1,Plastic_Rubber,57.9878,16.741377504043953,0.0601159636054936,0.0,0.0625,0.0625,-1,-0.038157,-1,-77.037739,iso_anomaly
material_0700810_position_5_sensor_3,Paper_Cardboard,58.3107,10.159295410864056,-0.1528435648999211,0.0,0.0,0.0625,-1,-0.129644,-1,-118.744827,iso_anomaly
material_0701290_position_2_sensor_1,Metal,58.485,19.07367432476405,0.1002786314721215,0.0,0.0625,0.0625,-1,-0.066477,-1,-136.845859,iso_anomaly
material_701880_position_4_sensor_1,Paper_Cardboard,58.6018,20.11932106457433,0.1249718201082476,0.0,0.0625,0.0625,-1,-0.04181,-1,-88.333875,iso_anomaly
material_0701420_position_4_sensor_3,Metal,58.8847,19.06732187555404,0.0749240467345763,0.0,0.0625,0.0625,-1,-0.009525,-1,-89.904554,iso_anomaly
material_0700810_position_3_sensor_2,Paper_Cardboard,59.1116,7.897838784252997,0.0331312455320648,0.0,0.0,0.0625,-1,-0.085093,-1,-168.758455,iso_anomaly
material_0700840_position_1_sensor_1,Paper_Cardboard,59.2854,11.14338555815224,0.1771842660675375,0.0,0.0,0.0588235294117647,-1,-0.02999,-1,-59.386544,iso_anomaly
